x,y,z
389.050788135228,119.18466251312583,b
345.08986235873226,114.34209621155196,b
394.6444809991298,93.51274128209866,b
468.234487624342,139.63908221687154,b
492.6694069586677,152.8880552300704,b
488.5171431810997,187.28109868847275,b
490.28019010885413,213.30396015424265,b
522.0060516908313,206.12386375849502,b
518.7352236558801,216.6339097488637,b
498.01839985167834,236.69764614568942,b
434.1318165256269,194.11924131443544,b
450.67588712214985,238.72439891406918,b
404.74258595202184,191.78278117250898,b
405.2467034703178,188.8558843600947,b
409.6063933736911,210.72175786910867,b
401.76321948030096,184.35717690863623,b
373.68664816002746,161.82729042233353,b
379.3280782551007,133.96744859719604,b
364.38830459680366,133.90753955808566,b
437.7394186601804,154.5465696896925,b
414.9473231370932,187.04863602310257,b
433.43918172147096,184.09861264905607,b
422.0719475247398,177.47441149430415,b
470.21415700139215,199.3479027319455,b
460.7092819141141,211.9593687790388,b
500.7751137186272,206.75339756455907,b
528.8588854722848,183.15059905288382,b
602.4335091559636,265.0789364382638,b
579.3255220401044,270.0480126746853,b
550.0969307498472,293.25807241182287,b
561.4818105558654,336.7432904132523,b
581.0826544479296,309.3177593253689,b
508.2970451086793,294.41397480198407,b
530.469389521318,369.5996937899483,b
550.7185956575759,338.47290990587624,b
560.6169171626235,436.15344841539076,b
524.9130413487757,361.7005421546061,b
501.1157247846915,426.1848714099988,b
487.9324718646159,381.4164152787153,b
489.84932019290954,395.82099313214604,b
480.93645879734186,443.8870704005317,b
492.06553071144,368.99397744085286,b
487.18829297834696,361.4109292824052,b
476.3098832856318,324.7352951201714,b
459.22488782126476,292.2350018697744,b
471.6705524129786,337.4181402207886,b
463.375134266355,315.66138245385537,b
486.94719545562566,270.67878669677515,b
473.72964421520896,260.947119452557,b
503.7988051353519,280.97477399053605,b
515.961210773828,246.9368730676141,b
479.96988231638244,215.4550143644127,b
487.30920515004925,247.47402971076627,b
510.14845467489744,258.7805172517771,b
544.794636186362,237.8954115294527,b
489.84566485370596,332.333928071128,b
512.3856665254349,366.9618277866799,b
517.1094971631226,474.2464012952616,b
488.3963478790752,406.0355344423791,b
474.19073182841476,448.10930001761164,b
498.633225794121,432.9016315157516,b
495.3722011730332,452.94789652645755,b
433.9185356591983,483.5169621329011,b
426.9647587387353,437.1704312460097,b
432.32258828627425,470.60867172643435,b
427.50452330478,481.95369786838364,b
442.21972672936374,454.4043800454885,b
439.2758719263894,464.6089689849109,b
410.9166177832105,420.19263283740617,b
423.83830298930155,416.8425156268971,b
430.9953727721359,469.23887697087326,b
401.6486616905524,453.4436894775494,b
430.36543361628145,455.13060988910604,b
399.21995999844995,403.54075319943615,b
433.7270035200671,427.24640423148236,b
445.6236501948514,416.5344418207597,b
412.29143301444776,394.35850936267934,b
435.12764871393176,330.6479735259276,b
412.6236229937662,358.6055049955762,b
391.0105403123067,379.2037645013154,b
397.49007688227664,361.00021710219346,b
408.6933772993463,375.2340665613816,b
444.2703086270574,350.77164191691816,b
393.0026528725773,335.71555354122285,b
430.6206547694279,393.1579460341742,b
436.0991862057996,362.0877799354987,b
461.8237881019932,363.08361990615356,b
445.4487710746048,388.430629596164,b
448.70226820544156,361.8136219045641,b
463.96524760798354,384.59883315938913,b
469.6491383701663,362.44906734723907,b
467.20440644764784,352.3102242949,b
